(1, freq:1) * --> 1
(10, freq:1) * --> 1
(11, freq:1) * --> 1
(12, freq:1) * --> 1
(13, freq:1) * --> 1
(14, freq:1) * --> 1
(15, freq:1) * --> 1
(15th, freq:1) * --> 1
(16, freq:1) * --> 1
(17, freq:1) * --> 1
(18, freq:1) * --> 1
(18th, freq:1) * --> 1
(19, freq:1) * --> 1
(2, freq:2) * --> 1 --> 3
(20, freq:1) * --> 1
(21, freq:1) * --> 2
(22, freq:1) * --> 2
(23, freq:1) * --> 2
(24, freq:1) * --> 2
(25, freq:1) * --> 2
(26, freq:1) * --> 2
(26th, freq:1) * --> 3
(27, freq:1) * --> 2
(28, freq:1) * --> 2
(29, freq:1) * --> 2
(3, freq:1) * --> 1
(30, freq:1) * --> 2
(31, freq:1) * --> 2
(32, freq:1) * --> 2
(33, freq:1) * --> 2
(34, freq:1) * --> 2
(35, freq:1) * --> 2
(36, freq:1) * --> 2
(37, freq:1) * --> 2
(38, freq:1) * --> 2
(39, freq:1) * --> 2
(4, freq:1) * --> 1
(40, freq:1) * --> 2
(41, freq:1) * --> 3
(42, freq:1) * --> 3
(43, freq:1) * --> 3
(44, freq:1) * --> 3
(45, freq:1) * --> 3
(46, freq:1) * --> 3
(47, freq:1) * --> 3
(48, freq:1) * --> 3
(49, freq:1) * --> 3
(5, freq:1) * --> 1
(50, freq:1) * --> 3
(51, freq:1) * --> 3
(52, freq:1) * --> 3
(53, freq:1) * --> 3
(54, freq:1) * --> 3
(55, freq:1) * --> 3
(56, freq:1) * --> 3
(57, freq:1) * --> 3
(58, freq:1) * --> 3
(59, freq:1) * --> 3
(6, freq:2) * --> 1 --> 3
(60, freq:1) * --> 3
(61, freq:1) * --> 3
(7, freq:1) * --> 1
(8, freq:1) * --> 1
(9, freq:1) * --> 1
(a, freq:3) * --> 1 --> 2 --> 3
(abatement, freq:1) * --> 2
(abhorrence, freq:2) * --> 2 --> 3
(abhorrent, freq:1) * --> 3
(abide, freq:1) * --> 2
(abiding, freq:1) * --> 2
(abilities, freq:3) * --> 1 --> 2 --> 3
(able, freq:3) * --> 1 --> 2 --> 3
(ablution, freq:1) * --> 2
(abode, freq:3) * --> 1 --> 2 --> 3
(abominable, freq:2) * --> 1 --> 2
(abominably, freq:3) * --> 1 --> 2 --> 3
(abominate, freq:1) * --> 3
(abound, freq:1) * --> 2
(about, freq:3) * --> 1 --> 2 --> 3
(above, freq:3) * --> 1 --> 2 --> 3
(abroad, freq:1) * --> 3
(abrupt, freq:1) * --> 3
(abruptly, freq:2) * --> 1 --> 2
(abruptness, freq:1) * --> 3
(absence, freq:3) * --> 1 --> 2 --> 3
(absent, freq:2) * --> 1 --> 3
(absolute, freq:2) * --> 1 --> 3
(absolutely, freq:3) * --> 1 --> 2 --> 3
(absurd, freq:3) * --> 1 --> 2 --> 3
(absurdities, freq:2) * --> 2 --> 3
(absurdity, freq:1) * --> 3
(abundant, freq:1) * --> 3
(abundantly, freq:2) * --> 1 --> 2
(abuse, freq:2) * --> 1 --> 2
(abused, freq:2) * --> 2 --> 3
(abusing, freq:2) * --> 1 --> 3
(abusive, freq:2) * --> 2 --> 3
(accede, freq:1) * --> 2
(acceded, freq:1) * --> 3
(acceding, freq:1) * --> 3
(accent, freq:1) * --> 3
(accents, freq:1) * --> 3
(accept, freq:3) * --> 1 --> 2 --> 3
(acceptable, freq:3) * --> 1 --> 2 --> 3
(acceptance, freq:3) * --> 1 --> 2 --> 3
(accepted, freq:3) * --> 1 --> 2 --> 3
(accepting, freq:3) * --> 1 --> 2 --> 3
(accident, freq:2) * --> 1 --> 2
(accidental, freq:3) * --> 1 --> 2 --> 3
(accidentally, freq:1) * --> 2
(accompanied, freq:2) * --> 1 --> 2
(accompany, freq:2) * --> 2 --> 3
(accompanying, freq:2) * --> 2 --> 3
(accomplished, freq:2) * --> 1 --> 3
(accomplishment, freq:2) * --> 2 --> 3
(accomplishments, freq:3) * --> 1 --> 2 --> 3
(according, freq:3) * --> 1 --> 2 --> 3
(accordingly, freq:2) * --> 2 --> 3
(accosted, freq:1) * --> 1
(account, freq:3) * --> 1 --> 2 --> 3
(accounted, freq:2) * --> 2 --> 3
(accounting, freq:2) * --> 2 --> 3
(accounts, freq:2) * --> 1 --> 2
(accuracy, freq:1) * --> 1
(accurate, freq:1) * --> 2
(accusation, freq:1) * --> 2
(accusations, freq:2) * --> 2 --> 3
(accuse, freq:3) * --> 1 --> 2 --> 3
(accused, freq:2) * --> 2 --> 3
(accusing, freq:1) * --> 1
(accustomed, freq:1) * --> 3
(ached, freq:1) * --> 1
(achieving, freq:1) * --> 2
(acknowledge, freq:3) * --> 1 --> 2 --> 3
(acknowledged, freq:3) * --> 1 --> 2 --> 3
(acknowledging, freq:1) * --> 2
(acknowledgment, freq:3) * --> 1 --> 2 --> 3
(acknowledgments, freq:2) * --> 1 --> 3
(acquaint, freq:2) * --> 1 --> 2
(acquaintance, freq:3) * --> 1 --> 2 --> 3
(acquaintances, freq:3) * --> 1 --> 2 --> 3
(acquainted, freq:3) * --> 1 --> 2 --> 3
(acquainting, freq:1) * --> 3
(acquiesce, freq:1) * --> 3
(acquiescence, freq:2) * --> 2 --> 3
(acquire, freq:1) * --> 2
